ign,ACS,K,D,A,HS%,Ace
G9,,,,,,
Sacred Blitz,ACS,K,D,A,HS%,ace
nyX#SBZ,371,22,9,2,0.45,0
KALASH#6799,279,17,12,7,0.21,0
rrohitrajj#0307,267,14,10,5,0.16,0
In Vain#leaf,197,13,7,4,0.17,0
instalockbotfrag#15417,195,13,9,7,0.19,0
Unga Bunga,ACS,K,D,A,HS%,ace
DR4GON1TE#NATSU,237,14,16,2,0.17,0
GiantPetuk#1234,207,10,16,3,0.13,0
Blank#Sora7,165,9,15,2,0.17,0
SAM FISHER#6725,157,9,17,1,0.11,0
spyC#999,116,5,15,2,0.12,0
,,,,,,
,,,,,,
G7,,,,,,
Hum Heke Uthlam,ACS,K,D,A,HS%,ace
BonKerZ#1963,151,8,14,1,0.18,0
Enigma#exe,86,4,15,1,0.12,0
Ice Cooker#5410,156,7,14,2,0.25,0
OwO Brother#7980,173,9,14,2,0.33,0
UffDoDo#4867,215,11,14,0,0.53,0
Sacred Blitz,ACS,K,D,A,HS%,ace
KALASH#6799,297,17,10,9,0.28,0
nyX#SBZ,192,12,8,2,0.29,0
instalockbotfrag#15417,203,12,8,7,0.18,0
rrohitrajj#0307,378,19,8,4,0.20,0
In Vain#leaf,194,11,5,4,0.17,0
,781,,,,,
,,,,,,
G13,,,,,,
Team Cruise,ACS,K,D,A,HS%,ace
az1r#4603,226,9,15,4,0.10,0
BooterDaal#0000,130,8,15,0,0.24,0
MissRomanoff#6700,99,5,15,2,0.08,0
Shouvikius#1350,234,13,14,2,0.14,0
UNICORN4O4#BOT,104,5,14,4,0.17,0
The boys,ACS,K,D,A,HS%,ace
AdmiralKenobi#9695,245,16,7,3,0.07,0
Kola#POP,339,18,11,9,0.09,0
Luciferplays#6137,171,11,7,7,0.29,0
MrFahrenheit#7926,239,13,8,4,0.22,0
Z3ROX1DE#KINGG,247,15,8,5,0.28,0
,793,,,,,
,,,,,,
G16,,,,,,
Team Shukna,ACS,K,D,A,HS%,ace
iNates#1321,195,9,14,2,0.31,0
Joker Vai#4401,120,5,14,0,0.10,0
m0nster#2711,98,4,14,2,0.05,0
Polti Girl#soHot,140,6,14,0,0.15,0
PoltiMar#6468,93,3,14,1,0.42,0
The boys,ACS,K,D,A,HS%,ace
AdmiralKenobi#9695,221,11,7,7,0.09,1
Hauptm4n#666,262,14,7,1,0.40,0
Luciferplays#6137,233,12,5,1,0.34,0
MrFahrenheit#7926,270,16,2,6,0.25,0
Z3ROX1DE#KINGG,338,17,6,13,0.20,0
,1324,,,,,
,,,,,,
G32,,,,,,
Noob Rangers,ACS,K,D,A,HS%,ace
GOKBORU#5094,68,3,13,1,0.10,0
Ling Ying Wei#1327,246,13,15,1,0.27,0
Luniam#Hexa,243,11,14,3,0.18,0
misfit#fn26,82,4,14,3,0.17,0
Xarvey#6794,70,2,15,1,0.08,0
One Night Radiant,ACS,K,D,A,HS%,ace
Tekashaki69#9091,353,18,6,7,0.10,0
RatRex#9988,160,10,10,4,0.21,0
Sinclair#1790,164,12,6,2,0.19,0
Tekx86#2255,332,21,5,2,0.20,0
tronics#5530,187,10,6,7,0.09,0
,1196,,,,,
,,,,,,
G22,,,,,,
North Boyz,ACS,K,D,A,HS%,ace
Bruh#6412,270,11,13,1,0.24,0
JohnReese#3312,92,3,13,1,0.18,0
Neutron Glitch#peeps,122,5,13,1,0.11,0
sanz47#void,79,3,13,2,0.26,0
shelby#ayhay,216,9,13,2,0.19,0
Team RushB,ACS,K,D,A,HS%,ace
CPX forb1dden#GNRC,190,9,8,3,0.15,0
CPX Vainn#GNRC,195,10,7,3,0.32,0
EIongated#007,153,7,5,2,0.32,0
JoeMama#beach,392,19,8,4,0.30,0
Riivide#Aloo,377,20,3,4,0.25,0
,1307,,,,,
,,,,,,
G20,,,,,,
North Boyz,ACS,K,D,A,HS%,ace
Bruh#6412,166,12,17,1,0.16,0
JohnReese#3312,190,13,19,5,0.21,0
